ticket,fecha_venta,id_local,local,tipo_local,id_ciudad,ciudad,estado,pais,venta_ticket,item,id_estilo,id_medida,cantidad,estilo,medida,precio_lista,precio_venta,venta_item,costo_unitario,costo_venta,utilidad,id_tipo_calzado,tipo_calzado
10004,01/01/2020,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1440.00,1,D006,20M,1,COLORFUL SPRING,20 Y MEDIO,1440.00,1440.00,1440.00,380.00,380.00,1060.00, D ,DAMA
10005,01/01/2020,3,ESFERA,PREMIUM,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1440.00,1,D006,19N,1,COLORFUL SPRING,19 NORMAL,1440.00,1440.00,1440.00,380.00,380.00,1060.00, D ,DAMA
10012,01/01/2020,3,ESFERA,PREMIUM,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,2033.00,1,D005,20N,1,SERENA STORM,20 NORMAL,2033.00,2033.00,2033.00,459.00,459.00,1574.00, D ,DAMA
10013,01/01/2020,14,PABELLON,ESTÁNDAR,GDL,GUADALAJARA,JALISCO,MÉXICO,1681.00,1,C003,24N,1,CONFORT NEW YORK,24 NORMAL,1681.00,1681.00,1681.00,396.00,396.00,1285.00, C ,CABALLERO
10015,01/01/2020,19,ANGELOPOLIS,ESTÁNDAR,PUE,PUEBLA,PUEBLA,MÉXICO,1865.00,1,D005,25N,1,SERENA STORM,25 NORMAL,1865.00,1865.00,1865.00,459.00,459.00,1406.00, D ,DAMA
10016,01/01/2020,4,PLAZA FIESTA,ESTÁNDAR,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1844.00,1,C002,18N,1,CONFORT MILAN,18 NORMAL,1844.00,1844.00,1844.00,420.00,420.00,1424.00, C ,CABALLERO
10019,01/01/2020,19,ANGELOPOLIS,ESTÁNDAR,PUE,PUEBLA,PUEBLA,MÉXICO,4154.00,1,D004,24M,2,PANAMA,24 Y MEDIO,1591.00,1591.00,3182.00,421.00,842.00,2340.00, D ,DAMA
10019,01/01/2020,19,ANGELOPOLIS,ESTÁNDAR,PUE,PUEBLA,PUEBLA,MÉXICO,4154.00,2,U002,29M,1,MINIMAL ECHO,29 Y MEDIO,1069.00,972.00,972.00,460.00,460.00,512.00, U ,UNISEX
10026,01/01/2020,3,ESFERA,PREMIUM,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1361.00,1,D001,20N,1,SPLEND MARNA,20 NORMAL,1361.00,1361.00,1361.00,397.00,397.00,964.00, D ,DAMA
10035,02/01/2020,3,ESFERA,PREMIUM,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,2030.00,1,S002,24M,1,CITUAN,24 Y MEDIO,2030.00,2030.00,2030.00,394.00,394.00,1636.00, S ,DEPORTIVO
