TICKET,ITEM,IDPRODUCTO,NOMPRRODUCTO,FECHAVENTA,CANTIDAD,IDTAMAÑO,DESCTAMAÑO,PRECIO,COSTOUNITARIO,DESCTIPO,IDLOCAL,NOMLOCAL,DESCTIPOLOCAL,IDCIUDAD,NOMCIUDAD,TOTALVENTA,TOTALCOSTO,AÑO,MES
10633,1,C001,COMFORT VERONA,07/01/2020,1,22M,22 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,01-ENE
11031,1,C001,COMFORT VERONA,11/01/2020,1,22M,22 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2020,01-ENE
11129,1,C001,COMFORT VERONA,12/01/2020,1,22M,22 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2020,01-ENE
11794,1,C001,COMFORT VERONA,18/01/2020,1,24N,24 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2020,01-ENE
15046,1,C001,COMFORT VERONA,20/02/2020,1,18M,18 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2020,02-FEB
15655,2,C001,COMFORT VERONA,25/02/2020,1,23N,23 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,02-FEB
15859,1,C001,COMFORT VERONA,26/02/2020,1,24M,24 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,02-FEB
17013,1,C001,COMFORT VERONA,07/03/2020,1,18N,18 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,03-MAR
18222,1,C001,COMFORT VERONA,15/03/2020,1,30M,30 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,03-MAR
18248,1,C001,COMFORT VERONA,16/03/2020,1,18N,18 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2020,03-MAR
